   -1 inaro.wallpaper call            surfaceflinger
    2 0.000           196.55487       binder_get_thread
    2 30.518          196.55487       binder_thread_write
    3 30.518          196.55487       binder_transaction
    4 0.000           196.55487       binder_set_nice
    4 0.000           196.55487       binder_update_page_range
    4 0.000           196.55490       binder_insert_free_buffer
    4 0.000           196.55490       binder_pop_transaction
    2 30.517          196.55493       binder_thread_read
    1 30.518          196.55493       binder_ioctl
    2 0.000           196.55493       binder_get_thread
    2 30.518          196.55493       binder_thread_write
    3 152.588         196.55493       binder_transaction_buffer_release
    4 0.000           196.55493       binder_dec_node
    2 0.000           196.55496       binder_free_buf
    3 0.000           196.55496       binder_update_page_range
