   -1 inaro.wallpaper call            surfaceflinger
    3 0.000           196.43966       binder_update_page_range
    3 0.000           196.43966       binder_insert_free_buffer
    3 0.000           196.43966       binder_pop_transaction
    1 0.000           196.43969       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 32318.11        196.45101       binder_ioctl
    1 0.000           196.45101       binder_get_thread
    1 244.140         196.45101       binder_thread_write
    2 244.140         196.45101       binder_transaction
    3 0.000           196.45120       binder_update_page_range
    3 0.000           196.45120       binder_insert_free_buffer
    3 0.000           196.45120       binder_inc_node
    1 32287.59        196.45126       binder_thread_read
    2 0.000           196.45129       binder_set_nice


   -1 surfaceflinger  reply           inaro.wallpaper
    0 91.553          196.45135       binder_ioctl
    1 0.000           196.45135       binder_get_thread
    1 30.517          196.45138       binder_thread_write
    2 30.517          196.45138       binder_transaction
    3 0.000           196.45138       binder_set_nice
    3 0.000           196.45138       binder_update_page_range
    3 0.000           196.45138       binder_insert_free_buffer
    3 0.000           196.45141       binder_pop_transaction
    1 0.000           196.45144       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 33416.74        196.45748       binder_ioctl
    1 0.000           196.45748       binder_get_thread
    1 91.553          196.45748       binder_thread_write
    2 0.000           196.45748       binder_transaction_buffer_release
    2 30.518          196.45748       binder_free_buf
    3 0.000           196.45748       binder_update_page_range
    3 0.000           196.45751       binder_delete_free_buffer
    3 0.000           196.45751       binder_insert_free_buffer
    2 61.035          196.45751       binder_transaction
    3 30.517          196.45751       binder_update_page_range
    3 0.000           196.45755       binder_insert_free_buffer
    3 0.000           196.45755       binder_inc_node
    1 33386.23        196.45758       binder_thread_read
    2 0.000           196.45764       binder_set_nice


   -1 surfaceflinger  reply           inaro.wallpaper
    0 61.035          196.45773       binder_ioctl
    1 0.000           196.45773       binder_get_thread
    1 61.035          196.45773       binder_thread_write
    2 30.518          196.45776       binder_transaction
    3 0.000           196.45776       binder_set_nice
    3 0.000           196.45776       binder_update_page_range
    3 0.000           196.45776       binder_insert_free_buffer
    3 0.000           196.45779       binder_pop_transaction
    1 0.000           196.45779       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 33630.37        196.46868       binder_ioctl
    1 30.518          196.46868       binder_get_thread
    1 61.035          196.46871       binder_thread_write
    2 61.035          196.46871       binder_transaction
    3 0.000           196.46875       binder_update_page_range
    3 0.000           196.46875       binder_insert_free_buffer
    3 0.000           196.46875       binder_inc_node
    1 33599.85        196.46878       binder_thread_read
    2 0.000           196.46881       binder_set_nice


   -1 surfaceflinger  reply           inaro.wallpaper
    0 61.035          196.46887       binder_ioctl
    1 0.000           196.46887       binder_get_thread
    1 30.517          196.46887       binder_thread_write
    2 30.517          196.46887       binder_transaction
    3 0.000           196.46887       binder_set_nice
    3 30.517          196.46887       binder_update_page_range
    3 0.000           196.46890       binder_insert_free_buffer
    3 0.000           196.46890       binder_pop_transaction
    1 30.518          196.46890       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 91.553          196.47262       binder_ioctl
    1 0.000           196.47262       binder_get_thread
    1 91.553          196.47262       binder_thread_write
    2 0.000           196.47265       binder_transaction_buffer_release
    2 0.000           196.47265       binder_free_buf
    3 0.000           196.47265       binder_update_page_range
    3 0.000           196.47265       binder_delete_free_buffer
    3 0.000           196.47265       binder_insert_free_buffer
    2 61.035          196.47265       binder_transaction
    3 0.000           196.47268       binder_update_page_range
    3 0.000           196.47268       binder_insert_free_buffer
    3 0.000           196.47268       binder_inc_node
    1 0.000           196.47271       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 35614.01        196.47277       binder_ioctl
    1 61.035          196.47283       binder_ioctl
    2 0.000           196.47283       binder_get_thread
    2 61.035          196.47283       binder_thread_write
    3 30.517          196.47286       binder_transaction
    4 0.000           196.47286       binder_set_nice
    4 0.000           196.47286       binder_update_page_range
    4 0.000           196.47286       binder_insert_free_buffer
    4 0.000           196.47290       binder_pop_transaction
    2 0.000           196.47290       binder_thread_read
    1 488.281         196.47293       binder_ioctl
    2 0.000           196.47293       binder_get_thread
    2 30.517          196.47293       binder_thread_write
    3 0.000           196.47293       binder_transaction_buffer_release
    4 0.000           196.47293       binder_dec_node
    3 30.517          196.47293       binder_free_buf
    4 30.517          196.47293       binder_update_page_range
    4 0.000           196.47296       binder_delete_free_buffer
    4 0.000           196.47296       binder_insert_free_buffer
    2 488.281         196.47296       binder_thread_read
    3 0.000           196.47296       binder_set_nice
    1 3356.934        196.47332       binder_ioctl
    2 0.000           196.47335       binder_get_thread
    2 3326.416        196.47335       binder_thread_write
    3 3326.416        196.47662       binder_transaction_buffer_release
    3 0.000           196.47668       binder_free_buf
    4 0.000           196.47668       binder_update_page_range
    4 0.000           196.47668       binder_delete_free_buffer
    4 0.000           196.47668       binder_insert_free_buffer
    1 152.588         196.48684       binder_ioctl
    2 0.000           196.48684       binder_get_thread
    2 30.518          196.48693       binder_thread_write
    3 30.518          196.48693       binder_transaction
    4 0.000           196.48693       binder_update_page_range
    4 0.000           196.48693       binder_insert_free_buffer
    4 0.000           196.48693       binder_inc_node
    2 0.000           196.48696       binder_thread_read
    1 35552.97        196.48699       binder_ioctl
    2 0.000           196.48699       binder_get_thread
    2 183.106         196.48699       binder_thread_read
    2 0.000           196.48703       binder_set_nice


   -1 surfaceflinger  reply           inaro.wallpaper
    0 61.035          196.47283       binder_ioctl
    1 0.000           196.47283       binder_get_thread
    1 61.035          196.47283       binder_thread_write
    2 30.517          196.47286       binder_transaction
    3 0.000           196.47286       binder_set_nice
    3 0.000           196.47286       binder_update_page_range
    3 0.000           196.47286       binder_insert_free_buffer
    3 0.000           196.47290       binder_pop_transaction
    1 0.000           196.47290       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 152.588         196.48684       binder_ioctl
    1 0.000           196.48684       binder_get_thread
    1 30.518          196.48693       binder_thread_write
    2 30.518          196.48693       binder_transaction
    3 0.000           196.48693       binder_update_page_range
    3 0.000           196.48693       binder_insert_free_buffer
    3 0.000           196.48693       binder_inc_node
    1 0.000           196.48696       binder_thread_read


   -1 surfaceflinger  reply           inaro.wallpaper
    0 61.035          196.48712       binder_ioctl
    1 0.000           196.48712       binder_get_thread
    1 61.035          196.48712       binder_thread_write
    2 61.035          196.48712       binder_transaction
    3 0.000           196.48712       binder_set_nice
    3 0.000           196.48712       binder_update_page_range
    3 0.000           196.48715       binder_insert_free_buffer
    3 0.000           196.48715       binder_pop_transaction
    1 0.000           196.48718       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 91.553          196.49234       binder_ioctl
    1 0.000           196.49234       binder_get_thread
    1 91.553          196.49234       binder_thread_write
    2 0.000           196.49234       binder_transaction_buffer_release
    2 30.518          196.49237       binder_free_buf
    3 0.000           196.49237       binder_update_page_range
    3 0.000           196.49237       binder_delete_free_buffer
    3 0.000           196.49237       binder_insert_free_buffer
    2 61.035          196.49237       binder_transaction
    3 0.000           196.49237       binder_update_page_range
    3 30.518          196.49240       binder_insert_free_buffer
    3 0.000           196.49240       binder_inc_node
    1 0.000           196.49243       binder_thread_read


   -1 surfaceflinger  reply           inaro.wallpaper
    0 122.071         196.49249       binder_ioctl
    1 0.000           196.49249       binder_get_thread
    1 122.071         196.49249       binder_thread_write
    2 30.518          196.49258       binder_transaction
    3 0.000           196.49258       binder_set_nice
    3 0.000           196.49258       binder_update_page_range
    3 0.000           196.49258       binder_insert_free_buffer
    3 0.000           196.49261       binder_pop_transaction
    1 0.000           196.49261       binder_thread_read


   -1 inaro.wallpaper call            surfaceflinger
    0 38299.56        196.49264       binder_ioctl
    1 0.000           196.49264       binder_get_thread
    1 30.518          196.49264       binder_thread_write
    2 0.000           196.49264       binder_transaction_buffer_release
    3 0.000           196.49264       binder_dec_node
    2 30.518          196.49264       binder_free_buf
    3 0.000           196.49264       binder_update_page_range
    3 0.000           196.49264       binder_delete_free_buffer
    3 30.518          196.49264       binder_insert_free_buffer
    1 4364.014        196.49267       binder_thread_read
    2 0.000           196.49267       binder_set_nice
    1 91.553          196.49691       binder_ioctl
    2 0.000           196.49691       binder_get_thread
    2 30.518          196.49691       binder_thread_write
    3 0.000           196.49691       binder_transaction_buffer_release
    3 30.518          196.49691       binder_free_buf
    4 0.000           196.49691       binder_update_page_range
    4 0.000           196.49691       binder_delete_free_buffer
    4 30.518          196.49691       binder_insert_free_buffer
    1 122.070         196.50704       binder_ioctl
    2 0.000           196.50704       binder_get_thread
